Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

modCreWeapDamageT1,items,Item,,,Striker Core,
modCreWeapDamageWakaDesc,items,Item,,,"A precision-machined damage core. Higher quality boosts entity damage; q5+ unlocks a headshot bonus. Stats panel shows the mid-tier baseline.",

modCreWeapDurabT1,items,Item,,,Hardened Internals,
modCreWeapDurabWakaDesc,items,Item,,,"Tempered steel internals reduce wear. Higher quality means weapons hold up longer between repairs.",

modCreGunRPMT1,items,Item,,,Tuned Trigger Group,
modCreGunRPMWakaDesc,items,Item,,,"A tuned trigger group. Faster rate of fire scales with quality; q5+ also tightens incremental spread per shot.",

modCreGunReloadT1,items,Item,,,Quick-Feed Assembly,
modCreGunReloadWakaDesc,items,Item,,,"Streamlined feed components. Reload speed scales with quality; q5+ adds a small rate-of-fire bonus from improved cycling.",

modCreGunMagazineT1,items,Item,,,Tactical Magazine Extender,
modCreGunMagazineWakaDesc,items,Item,,,"An extended magazine. Capacity scales with quality. Compatible with standard, drum, and shotgun tube magazines.",

modCreGunGripT1,items,Item,,,Ergonomic Grip Wrap,
modCreGunGripWakaDesc,items,Item,,,"Ergonomic grip with vibration dampening. Spread and recoil cuts scale with quality; q5+ also adds weapon handling.",

modCreGunRangeT1,items,Item,,,Precision Barrel Sleeve,
modCreGunRangeWakaDesc,items,Item,,,"An extended barrel and refined sight group. Range, falloff, and handling scale with quality. q5+ rewards distant targets with a heavy damage bonus.",

modCreGunSniperT1,items,Item,,,Marksman Optic Package,
modCreGunSniperWakaDesc,items,Item,,,"A long-range scope and barrel package. Trades hipfire and walking accuracy for crouched precision. q5+ headshots gain extra damage and dismember chance.",

modCreGunOneBT1,items,Item,,,Single-Tap Conversion Kit,
modCreGunOneBWakaDesc,items,Item,,,"A single-shot conversion. Forces 1-round bursts at much lower fire rate, but entity damage scales massively with quality. Built for slow precision builds.",

modCreGunShockT1,items,Item,,,Voltaic Discharge Coil,
